見出し,読み,原型,品詞,品詞細分類,意味情報,章番号,文番号
」,」,」,特殊,括弧終,NIL,3,104
。,。,。,特殊,句点,NIL,3,104
魔法,まほう,魔法,名詞,普通名詞,代表表記:魔法/まほう カテゴリ:抽象物,3,105
博士,はかせ,博士,名詞,普通名詞,代表表記:博士/はかせ ドメイン:科学・技術 カテゴリ:抽象物 人名末尾,3,105
の,の,の,助詞,格助詞,NIL,3,105
ふしぎな,ふしぎな,ふしぎだ,形容詞,*,代表表記:不思議だ/ふしぎだ,3,105
もうしこみ,もうしこみ,もうしこみ,名詞,普通名詞,代表表記:申込/もうしこみ カテゴリ:抽象物 動詞派生:申し込む/もうしこむ,3,105
に,に,に,助詞,格助詞,NIL,3,105
、,、,、,特殊,読点,NIL,3,105
二,に,二,名詞,数詞,カテゴリ:数量,3,105
少年,しょうねん,少年,名詞,普通名詞,代表表記:少年/しょうねん カテゴリ:人,3,105
は,は,は,助詞,副助詞,NIL,3,105
、,、,、,特殊,読点,NIL,3,105
おもわず,おもわず,おもわず,副詞,*,代表表記:思わず/おもわず,3,105
、,、,、,特殊,読点,NIL,3,105
顔,かお,顔,名詞,普通名詞,代表表記:顔/かお カテゴリ:動物-部位 漢字読み:訓,3,105
を,を,を,助詞,格助詞,NIL,3,105
見あわせ,みあわせ,見あわせる,動詞,*,代表表記:見合わせる/みあわせる,3,105
ました,ました,ます,接尾辞,動詞性接尾辞,代表表記:ます/ます,3,105
が,が,が,助詞,接続助詞,NIL,3,105
、,、,、,特殊,読点,NIL,3,105
ノロ,のろ,ノロ,名詞,普通名詞,代表表記:ノロ/のろ 自動獲得:テキスト 副詞識別,3,105
ちゃん,ちゃん,ちゃん,接尾辞,名詞性名詞接尾辞,代表表記:ちゃん/ちゃん,3,105
は,は,は,助詞,副助詞,NIL,3,105
、,、,、,特殊,読点,NIL,3,105
。,。,。,特殊,句点,NIL,3,105
「,「,「,特殊,括弧始,NIL,3,106
小林,こばやし,小林,名詞,人名,人名:日本:姓:10:0.00576,3,106
さん,さん,さん,接尾辞,名詞性名詞接尾辞,代表表記:さん/さん,3,106
、,、,、,特殊,読点,NIL,3,106
試合,しあい,試合,名詞,サ変名詞,代表表記:試合/しあい ドメイン:スポーツ カテゴリ:抽象物,3,106
の,の,の,助詞,格助詞,NIL,3,106
もうしこみ,もうしこみ,もうしこみ,名詞,普通名詞,代表表記:申込/もうしこみ カテゴリ:抽象物 動詞派生:申し込む/もうしこむ,3,106
に,に,に,助詞,格助詞,NIL,3,106
、,、,、,特殊,読点,NIL,3,106
おうじよう,おうじよう,おうじる,動詞,*,代表表記:応じる/おうじる,3,106
よ,よ,よ,助詞,終助詞,NIL,3,106
。,。,。,特殊,句点,NIL,3,106
そして,そして,そして,接続詞,*,代表表記:そして/そして,3,107
、,、,、,特殊,読点,NIL,3,107
ぼく,ぼく,ぼく,名詞,普通名詞,代表表記:僕/ぼく カテゴリ:人 漢字読み:音,3,107
たち,たち,たち,接尾辞,名詞性名詞接尾辞,代表表記:達/たち,3,107
の,の,の,助詞,接続助詞,NIL,3,107
腕,うで,腕,名詞,普通名詞,代表表記:腕/うで カテゴリ:動物-部位 漢字読み:訓,3,107
まえ,まえ,まえ,名詞,時相名詞,代表表記:前/まえ カテゴリ:場所-機能;時間 漢字読み:訓 〜を〜に構成語 弱時相名詞,3,107
を,を,を,助詞,格助詞,NIL,3,107
見せて,みせて,見せる,動詞,*,代表表記:見せる/みせる 付属動詞候補（タ系） 使役動詞:見る/みる,3,107
やろう,やろう,やる,動詞,*,代表表記:やる/やる 付属動詞候補（タ系）,3,107
よ,よ,よ,助詞,終助詞,NIL,3,107
」,」,」,特殊,括弧終,NIL,3,107
。,。,。,特殊,句点,NIL,3,107
消えた,きえた,消える,動詞,*,代表表記:消える/きえる 自他動詞:他:消す/けす,4,0
黄金,おうごん,黄金,名詞,普通名詞,代表表記:黄金/おうごん カテゴリ:人工物-その他;色,4,0
の,の,の,助詞,接続助詞,NIL,4,0
トラ,とら,トラ,名詞,普通名詞,代表表記:虎/とら カテゴリ:動物,4,0
。,。,。,特殊,句点,NIL,4,0
「,「,「,特殊,括弧始,NIL,4,1
うん,うん,うん,感動詞,*,代表表記:うん/うん,4,1
、,、,、,特殊,読点,NIL,4,1
感心,かんしん,感心,名詞,サ変名詞,代表表記:感心/かんしん カテゴリ:抽象物 形容詞派生:感心だ/かんしんだ,4,1
